year,month,country,total,bev,phev,hev,other,petrol,diesel
2025,2,Netherlands,27627,10168,4364,8001,48,4727,319
2025,2,Norway,8949,8477,136,154,0,37,145
2025,2,Poland,44795,1675,1901,23343,1095,13493,3288
2025,2,Portugal,19463,3946,2093,4974,1702,5751,997
2025,2,Romania,11850,724,0,5510,1354,3007,1255
2025,2,Slovakia,6205,276,240,1992,143,2526,1028
2025,2,Slovenia,4372,367,187,543,52,2412,811
2025,2,Spain,90342,6112,6903,39800,4380,27980,5167
2025,2,Sweden,19608,6872,5106,1942,3,4503,1182
2025,2,Switzerland,16212,3402,1462,6000,3,4071,1274
2025,2,United Kingdom,84064,21244,7273,29849,10,22986,2702
2025,3,Austria,25950,6122,2275,7224,1,7346,2982
2025,3,Belgium,40184,13650,3244,4610,348,17057,1275
2025,3,Bulgaria,4220,217,39,112,0,3436,416
2025,3,Croatia,6428,82,153,2144,150,2919,980
2025,3,Cyprus,1601,105,63,685,0,705,43
2025,3,Czechia,22566,1395,977,4856,600,10710,4028
2025,3,Denmark,14981,9850,543,2223,0,1946,419
2025,3,Estonia,966,82,95,531,0,182,76
2025,3,Finland,6176,2435,1208,1626,0,667,240
2025,3,France,153842,29261,8289,70674,6288,32867,6463
2025,3,Germany,253497,42521,26553,74860,1259,70414,37890
2025,3,Greece,12719,775,670,6048,181,4534,511
2025,3,Hungary,13199,1154,474,6984,83,3080,1424
2025,3,Iceland,1021,482,188,217,0,73,61
2025,3,Ireland,17291,2531,2401,4689,0,4775,2895
2025,3,Italy,172229,9367,7873,77567,13303,46022,18097
2025,3,Latvia,2036,130,220,0,31,1361,294
2025,3,Lithuania,3567,223,220,1974,62,541,547
2025,3,Luxembourg,4839,1432,386,1314,0,1194,513
2025,3,Malta,569,118,24,149,0,250,28
2025,3,Netherlands,31132,11156,6221,9286,121,3947,401
2025,3,Norway,13864,11192,1770,563,0,101,238
2025,3,Poland,53062,2311,2421,27099,1728,15538,3965
2025,3,Portugal,24578,4964,2727,6042,2047,7648,1150
2025,3,Romania,9922,273,0,4994,1122,2580,953
2025,3,Slovakia,7567,352,327,2364,161,3264,1099
2025,3,Slovenia,5285,480,144,695,21,3005,940
2025,3,Spain,116733,8101,8373,49094,6537,38465,6163
2025,3,Sweden,24204,8386,6316,2416,1,5400,1685
2025,3,Switzerland,21690,4421,2083,8259,1,5319,1607
2025,3,United Kingdom,357103,69313,33815,147931,0,97566,8478
2025,4,Austria,24855,5690,2521,7135,1,6681,2827
2025,4,Belgium,37812,12469,3443,4161,391,16121,1227
2025,4,Bulgaria,4007,144,38,176,3,3124,522
2025,4,Croatia,9070,60,188,3178,140,4378,1126
2025,4,Cyprus,1096,90,58,552,0,361,35
2025,4,Czechia,21226,1229,849,4571,477,10768,3332
2025,4,Denmark,15117,9565,505,2289,0,2372,386
2025,4,Estonia,1075,72,83,591,0,216,113
2025,4,Finland,6251,2301,1298,1649,0,737,266
2025,4,France,138696,25542,9593,63060,4869,28932,6700
2025,4,Germany,242728,45535,24317,67379,1034,66814,37649
2025,4,Greece,14649,630,819,7022,488,5154,536
2025,4,Hungary,10787,704,571,5534,28,2745,1205
2025,4,Iceland,1455,332,386,375,0,211,151
2025,4,Ireland,8707,1335,1359,1838,0,2249,1926
2025,4,Italy,139062,6639,8048,60973,11095,37985,14322
2025,4,Latvia,2067,136,242,0,19,1373,297
2025,4,Lithuania,4040,218,270,2017,44,803,688
2025,4,Luxembourg,4364,999,410,1339,0,1179,437
2025,4,Malta,642,210,41,148,0,220,23
2025,4,Netherlands,26992,9169,5664,7577,110,3859,613
