brand,model,total
TOYOTA,TOYOTA 1000,1
TOYOTA,TOYOTA 2000,1
TOYOTA,TOYOTA AVALON,1
TOYOTA,TOYOTA LUCIDA,1
TRIUMPH,TRIUMPH 2.5,1
TRIUMPH,TRIUMPH BONNEVILLE,1
TRIUMPH,TRIUMPH TRIDENT,1
TVR,TVR CHIMAERA,1
TVR,TVR GRIFFITH,1
TVR,TVR TAMORA,1
TVR,TVR TASMIN,1
TVR,TVR TUSCAN,1
TYM,TYM MODEL MISSING,1
UMM,UMM MODEL MISSING,1
UNI CARRIERS,UNI CARRIERS MODEL MISSING,1
URAL,URAL MODEL MISSING,1
VAUXHALL,VAUXHALL AGILA,1
VAUXHALL,VAUXHALL CALIBRA,1
VAUXHALL,VAUXHALL CRESTA,1
VAUXHALL,VAUXHALL OMEGA,1
VAUXHALL,VAUXHALL VELOX,1
VELOSOLEX,VELOSOLEX MODEL MISSING,1
VELOSOLEX,VELOSOLEX S 3800,1
VENTURI,VENTURI MODEL MISSING,1
VESPA (DOUGLAS),VESPA (DOUGLAS) MODEL MISSING,1
VOLGA,VOLGA MODEL MISSING,1
VOLKSWAGEN,VOLKSWAGEN 1200,1
VOLKSWAGEN,VOLKSWAGEN 1303,1
VOLKSWAGEN,VOLKSWAGEN 1500,1
VOLKSWAGEN,VOLKSWAGEN AMAROK,1
VOLKSWAGEN,VOLKSWAGEN CC,1
VOLKSWAGEN,VOLKSWAGEN MICROBUS,1
VOLKSWAGEN,VOLKSWAGEN SANTANA,1
VOLKSWAGEN,VOLKSWAGEN TL,1
VOLKSWAGEN,VOLKSWAGEN URBAN,1
VOLKSWAGEN,VOLKSWAGEN VENTO,1
VOLTA TRUCKS,VOLTA TRUCKS MODEL MISSING,1
VOLVO,VOLVO 142,1
VOLVO,VOLVO 262,1
VOLVO,VOLVO 264,1
VOLVO,VOLVO 360,1
VOLVO,VOLVO 440,1
WOLSELEY,WOLSELEY 6/110,1
WOLSELEY,WOLSELEY HORNET,1
ZURN HARVESTING,ZURN HARVESTING MODEL MISSING,1
POLESTAR,POLESTAR 1,1
