year,quarter,brand,model,count
2023,3,LEXUS,LEXUS NX 350,1098
2023,3,MAZDA,MAZDA 3,1087
2023,3,FORD,FORD MUSTANG MACH-E,1040
2023,3,PORSCHE,PORSCHE 911,1034
2023,3,DACIA,DACIA JOGGER,1020
2023,3,SUZUKI,SUZUKI IGNIS,1003
2023,3,SUZUKI,SUZUKI S-CROSS,967
2023,3,HONDA,HONDA CR-V,959
2023,3,BMW,BMW 5 SERIES,953
2023,3,AUDI,AUDI Q7,951
2023,3,MERCEDES,MERCEDES E CLASS,939
2023,3,VOLKSWAGEN,VOLKSWAGEN TOUAREG,935
2023,3,MG,MG 3,935
2023,3,MAZDA,MAZDA CX-60,924
2023,3,BMW,BMW X1,909
2023,3,MERCEDES,MERCEDES EQB CLASS,899
2023,3,VOLKSWAGEN,VOLKSWAGEN UP,883
2023,3,MERCEDES,MERCEDES GLB CLASS,881
2023,3,HYUNDAI,HYUNDAI SANTA FE,872
2023,3,AUDI,AUDI S3,825
2023,3,MERCEDES,MERCEDES GLE CLASS,792
2023,3,JAGUAR,JAGUAR I-PACE,768
2023,3,HONDA,HONDA CIVIC,743
2023,3,AUDI,AUDI E-TRON,723
2023,3,PEUGEOT,PEUGEOT RIFTER,714
2023,3,LEXUS,LEXUS NX 450,705
2023,3,BMW,BMW M1,675
2023,3,NISSAN,NISSAN MODEL MISSING,672
2023,3,TOYOTA,TOYOTA GR86,643
2023,3,VOLVO,VOLVO C40,637
2023,3,LAND ROVER,LAND ROVER RANGE ROVER,626
2023,3,BMW,BMW 4 SERIES,623
2023,3,MERCEDES,MERCEDES GLA CLASS,618
2023,3,PORSCHE,PORSCHE CAYENNE,615
2023,3,SEAT,SEAT LEON,600
2023,3,MERCEDES,MERCEDES EQE CLASS,586
2023,3,MINI,MINI JOHN COOPER WORKS,585
2023,3,BMW,BMW M2,538
2023,3,KIA,KIA PRO CEED,534
2023,3,JAGUAR,JAGUAR E-PACE,524
2023,3,HONDA,HONDA MODEL MISSING,523
2023,3,MINI,MINI CLUBMAN,520
2023,3,MAZDA,MAZDA MX-5,514
2023,3,BMW,BMW M3,500
2023,3,BMW,BMW X2,495
