year,quarter,brand,model,count
2026,2,RENAULT,RENAULT 4,1199
2026,2,AUDI,AUDI Q7,1187
2026,2,RENAULT,RENAULT SCENIC,1162
2026,2,MERCEDES-BENZ,MERCEDES-BENZ GLB CLASS,1158
2026,2,FIAT,FIAT 600,1151
2026,2,FORD,FORD FOCUS,1147
2026,2,MG,MG IM5,1142
2026,2,DACIA,DACIA BIGSTER,1119
2026,2,JEEP,JEEP AVENGER,1118
2026,2,BMW,BMW IX,1117
2026,2,ALPINE,ALPINE A290,1101
2026,2,BYD,BYD ATTO 2,1099
2026,2,VOLVO,VOLVO EX40,1098
2026,2,PORSCHE,PORSCHE 911,1095
2026,2,LAND ROVER,LAND ROVER RANGE ROVER VELAR,1088
2026,2,NISSAN,NISSAN MICRA,1035
2026,2,MAZDA,MAZDA 2,1027
2026,2,TOYOTA,TOYOTA URBAN CRUISER,977
2026,2,BMW,BMW IX3,972
2026,2,LEXUS,LEXUS NX,971
2026,2,RENAULT,RENAULT AUSTRAL,969
2026,2,BMW,BMW 5 SERIES,964
2026,2,VOLKSWAGEN,VOLKSWAGEN ID7,963
2026,2,CITROEN,CITROEN C5,930
2026,2,NISSAN,NISSAN X-TRAIL,926
2026,2,SEAT,SEAT ARONA,920
2026,2,TOYOTA,TOYOTA MODEL MISSING,919
2026,2,BMW,BMW I5,905
2026,2,MERCEDES,MERCEDES AMG CLASS,901
2026,2,PORSCHE,PORSCHE CAYENNE,864
2026,2,MG,MG S6,863
2026,2,FORD,FORD CAPRI,860
2026,2,VOLKSWAGEN,VOLKSWAGEN ID BUZZ,849
2026,2,MERCEDES,MERCEDES C CLASS,839
2026,2,SUZUKI,SUZUKI VITARA,835
2026,2,CHANGAN,CHANGAN DEEPAL,825
2026,2,BMW,BMW IX2,822
2026,2,HYUNDAI,HYUNDAI BAYON,788
2026,2,SKODA,SKODA SCALA,771
2026,2,OMODA,OMODA 9 NOBLE PHEV AUTO,769
2026,2,FIAT,FIAT GRANDE PANDA,766
2026,2,ALFA ROMEO,ALFA ROMEO JUNIOR,763
2026,2,DACIA,DACIA SPRING,749
2026,2,VAUXHALL,VAUXHALL ASTRA,746
2026,2,SKODA,SKODA SUPERB,741
2026,2,MERCEDES-BENZ,MERCEDES-BENZ E CLASS,725
2026,2,VOLKSWAGEN,VOLKSWAGEN ID5,717
2026,2,KIA,KIA EV2,708
2026,2,VOLKSWAGEN,VOLKSWAGEN PASSAT,697
2026,2,MG,MG IM6,688
2026,2,TOYOTA,TOYOTA BZ4X,682
2026,2,MERCEDES,MERCEDES GLE CLASS,678
2026,2,BYD,BYD ATTO 3,668
2026,2,MINI,MINI JOHN COOPER WORKS,626
2026,2,RENAULT,RENAULT TRAFIC,607
2026,2,SEAT,SEAT LEON,585
2026,2,PEUGEOT,PEUGEOT RIFTER,576
2026,2,HYUNDAI,HYUNDAI I10,576
2026,2,BMW,BMW X2,573
2026,2,CITROEN,CITROEN SPACETOURER,548
2026,2,CUPRA,CUPRA TAVASCAN,547
2026,2,JAECOO,JAECOO 8,547
2026,2,VOLKSWAGEN,VOLKSWAGEN TOUAREG,546
2026,2,KIA,KIA PV5,539
2026,2,VOLKSWAGEN,VOLKSWAGEN MULTIVAN,531
2026,2,BMW,BMW 4 SERIES,518
2026,2,LEXUS,LEXUS RZ,517
2026,2,MERCEDES,MERCEDES GLB CLASS,502
2026,2,HONDA,HONDA CR-V,491
2026,2,MERCEDES-BENZ,MERCEDES-BENZ EQE CLASS,490
2026,2,VOLKSWAGEN,VOLKSWAGEN CADDY,482
2026,2,AUDI,AUDI MODEL MISSING,477
2026,2,MERCEDES,MERCEDES EQA CLASS,476
2026,2,SUZUKI,SUZUKI S-CROSS,457
2026,2,MERCEDES,MERCEDES CLA CLASS,450
2026,2,LAND ROVER,LAND ROVER MODEL MISSING,444
2026,2,PORSCHE,PORSCHE TAYCAN,441
2026,2,NISSAN,NISSAN MODEL MISSING,439
2026,2,CITROEN,CITROEN BERLINGO,427
