year,month,model_label,count
2026,6,VOLKSWAGEN ID.,4
2026,6,FORD TRANSIT CUSTOM,3
2026,6,HYUNDAI SANTA FE,3
2026,6,LAMBORGHINI URUS,3
2026,6,MINI ACEMAN,3
2026,6,MINI COUNTRYMAN,3
2026,6,PORSCHE 911,3
2026,6,RENAULT RAFALE,3
2026,6,TESLA MOTORS MODEL X,3
2026,6,VOLKSWAGEN MULTIVAN,3
2026,6,BMW M5,2
2026,6,BYD TANG,2
2026,6,DS N�8,2
2026,6,GAC UT,2
2026,6,HONDA HR-V,2
2026,6,HYUNDAI I20,2
2026,6,HYUNDAI KONA,2
2026,6,LAND ROVER RANGE ROVER VELAR,2
2026,6,MAZDA MX-5,2
2026,6,MINI JCW,2
2026,6,OPEL MOKKA,2
2026,6,SEAT ARONA,2
2026,6,SUBARU FORESTER,2
2026,6,TESLA MOTORS MODEL S,2
2026,6,VOLVO V90,2
2026,6,AUDI E-TRON,1
2026,6,AUDI Q8,1
2026,6,AUDI S6,1
2026,6,BMW 2 SERIES,1
2026,6,BMW X7,1
2026,6,CITROEN C4,1
2026,6,FIAT DUCATO,1
2026,6,FORD FOCUS,1
2026,6,FORD TOURNEO COURIER,1
2026,6,HONDA JAZZ,1
2026,6,LAND ROVER DISCOVERY SPORT,1
2026,6,LEXUS RX450H+,1
2026,6,LEXUS RZ550E,1
2026,6,MAZDA 2,1
2026,6,MAZDA CX-80,1
2026,6,MERCEDES-BENZ CLE,1
2026,6,MERCEDES-BENZ EQE,1
2026,6,MERCEDES-BENZ G-CLASS,1
2026,6,MITSUBISHI ASX,1
2026,6,NISSAN X-TRAIL,1
2026,6,409900,1
2026,6,OMODA 5,1
2026,6,PORSCHE PANAMERA,1
2026,6,RENAULT TRAFIC,1
2026,6,SUZUKI E,1
2026,6,TOYOTA LAND CRUISER,1
2026,6,VOLKSWAGEN CALIFORNIA,1
