year,month,fuel,count
2022,11,Petrol,2909
2022,12,BEV,1843
2022,12,Diesel,441
2022,12,Other,42
2022,12,PHEV,1133
2022,12,Petrol,2727
2023,1,BEV,1862
2023,1,Diesel,430
2023,1,Other,51
2023,1,PHEV,1295
2023,1,Petrol,3537
2023,2,BEV,1853
2023,2,Diesel,409
2023,2,Other,23
2023,2,PHEV,1161
2023,2,Petrol,2671
2023,3,BEV,2872
2023,3,Diesel,381
2023,3,Other,21
2023,3,PHEV,1384
2023,3,Petrol,3021
2023,4,BEV,2347
2023,4,Diesel,426
2023,4,Other,34
2023,4,PHEV,1673
2023,4,Petrol,2826
2023,5,BEV,3275
2023,5,Diesel,623
2023,5,Other,41
2023,5,PHEV,1597
2023,5,Petrol,3900
2023,6,BEV,3092
2023,6,Diesel,547
2023,6,Other,54
2023,6,PHEV,1723
2023,6,Petrol,3748
2023,7,BEV,1702
2023,7,Diesel,392
2023,7,Other,86
2023,7,PHEV,1631
2023,7,Petrol,2587
2023,8,BEV,2812
2023,8,Diesel,434
2023,8,Other,31
2023,8,PHEV,1768
2023,8,Petrol,2779
2023,9,BEV,3002
2023,9,Diesel,353
2023,9,Other,31
2023,9,PHEV,1417
2023,9,Petrol,2680
2023,10,BEV,2305
2023,10,Diesel,380
2023,10,Other,30
2023,10,PHEV,1482
2023,10,Petrol,2255
2023,11,BEV,2311
2023,11,Diesel,354
2023,11,Other,35
2023,11,PHEV,1453
2023,11,Petrol,2521
2023,12,BEV,2103
2023,12,Diesel,328
2023,12,Other,16
2023,12,PHEV,1503
2023,12,Petrol,1850
2024,1,BEV,1588
2024,1,Diesel,400
2024,1,Other,17
2024,1,PHEV,1545
2024,1,Petrol,3041
2024,2,BEV,1330
2024,2,Diesel,331
2024,2,Other,36
2024,2,PHEV,1237
2024,2,Petrol,2441
2024,3,BEV,1852
2024,3,Diesel,308
2024,3,Other,14
2024,3,PHEV,1406
2024,3,Petrol,2907
2024,4,BEV,1678
2024,4,Diesel,323
2024,4,Other,9
2024,4,PHEV,1199
2024,4,Petrol,2951
2024,5,BEV,2222
2024,5,Diesel,443
2024,5,Other,9
2024,5,PHEV,1362
2024,5,Petrol,3745
2024,6,BEV,1901
2024,6,Diesel,464
2024,6,Other,11
2024,6,PHEV,1068
2024,6,Petrol,3322
2024,7,BEV,1340
2024,7,Diesel,324
2024,7,Other,3
2024,7,PHEV,949
2024,7,Petrol,2582
2024,8,BEV,1893
2024,8,Diesel,333
2024,8,Other,5
2024,8,PHEV,1341
2024,8,Petrol,2977
2024,9,BEV,1841
2024,9,Diesel,176
2024,9,Other,2
2024,9,PHEV,1042
2024,9,Petrol,1542
2024,10,BEV,1901
2024,10,Diesel,272
2024,10,Other,4
2024,10,PHEV,1334
2024,10,Petrol,2426
2024,11,BEV,1994
2024,11,Diesel,238
2024,11,Other,2
2024,11,PHEV,1201
2024,11,Petrol,2907
2024,12,BEV,2329
2024,12,Diesel,200
2024,12,Other,2
2024,12,PHEV,1179
2024,12,Petrol,2573
2025,1,BEV,1641
2025,1,Diesel,282
2025,1,PHEV,1367
2025,1,Petrol,2455
2025,2,BEV,1563
2025,2,Diesel,204
2025,2,PHEV,1035
2025,2,Petrol,1984
2025,3,BEV,2435
2025,3,Diesel,251
2025,3,PHEV,1208
2025,3,Petrol,2282
2025,4,BEV,2301
2025,4,Diesel,281
2025,4,PHEV,1298
2025,4,Petrol,2371
2025,5,BEV,2296
2025,5,Diesel,268
2025,5,Other,1
2025,5,PHEV,1435
2025,5,Petrol,2852
2025,6,BEV,2491
2025,6,Diesel,309
2025,6,Other,1
2025,6,PHEV,1553
2025,6,Petrol,3098
2025,7,BEV,1971
2025,7,Diesel,271
2025,7,Other,3
2025,7,PHEV,1141
2025,7,Petrol,2039
2025,8,BEV,1941
2025,8,Diesel,270
2025,8,PHEV,1151
2025,8,Petrol,1900
2025,9,BEV,2592
2025,9,Diesel,209
2025,9,PHEV,1106
2025,9,Petrol,2092
2025,10,BEV,2225
2025,10,Diesel,282
2025,10,PHEV,1220
2025,10,Petrol,2492
2025,11,BEV,2337
2025,11,Diesel,328
2025,11,PHEV,1130
2025,11,Petrol,2381
2025,12,BEV,2955
2025,12,Diesel,148
2025,12,PHEV,876
2025,12,Petrol,1566
2026,1,BEV,2505
2026,1,Diesel,202
2026,1,PHEV,789
2026,1,Petrol,1966
2026,2,BEV,2189
2026,2,Diesel,244
