year,month,fuel,count
2022,2,Diesel,3135
2022,2,Hybrid,2045
2022,2,Other,369
2022,2,PHEV,5509
2022,2,Petrol,5368
2022,3,BEV,9254
2022,3,Diesel,3913
2022,3,Hybrid,2786
2022,3,Other,377
2022,3,PHEV,6826
2022,3,Petrol,6737
2022,4,BEV,5500
2022,4,Diesel,3492
2022,4,Hybrid,2735
2022,4,Other,201
2022,4,PHEV,5154
2022,4,Petrol,5968
2022,5,BEV,6529
2022,5,Diesel,4369
2022,5,Hybrid,2582
2022,5,Other,324
2022,5,PHEV,6146
2022,5,Petrol,7786
2022,6,BEV,8365
2022,6,Diesel,3998
2022,6,Hybrid,2024
2022,6,Other,338
2022,6,PHEV,6159
2022,6,Petrol,6490
2022,7,BEV,4792
2022,7,Diesel,2249
2022,7,Hybrid,1600
2022,7,Other,217
2022,7,PHEV,4259
2022,7,Petrol,5672
2022,8,BEV,5927
2022,8,Diesel,2578
2022,8,Hybrid,2707
2022,8,Other,638
2022,8,PHEV,3668
2022,8,Petrol,5975
2022,9,BEV,7871
2022,9,Diesel,2698
2022,9,Hybrid,2382
2022,9,Other,693
2022,9,PHEV,4387
2022,9,Petrol,5016
2022,10,BEV,8036
2022,10,Diesel,2471
2022,10,Hybrid,2266
2022,10,Other,543
2022,10,PHEV,5381
2022,10,Petrol,4523
2022,11,BEV,10970
2022,11,Diesel,2530
2022,11,Hybrid,2506
2022,11,Other,391
2022,11,PHEV,5660
2022,11,Petrol,4238
2022,12,BEV,18207
2022,12,Diesel,2546
2022,12,Hybrid,2161
2022,12,Other,347
2022,12,PHEV,8248
2022,12,Petrol,4370
2023,1,BEV,4333
2023,1,Diesel,1863
2023,1,Hybrid,1776
2023,1,Other,243
2023,1,PHEV,3465
2023,1,Petrol,3602
2023,2,BEV,6212
2023,2,Diesel,2217
2023,2,Hybrid,1914
2023,2,Other,577
2023,2,PHEV,3864
2023,2,Petrol,4256
2023,3,BEV,12644
2023,3,Diesel,2549
2023,3,Hybrid,3073
2023,3,Other,700
2023,3,PHEV,5542
2023,3,Petrol,6452
2023,4,BEV,6983
2023,4,Diesel,2347
2023,4,Hybrid,1855
2023,4,Other,519
2023,4,PHEV,4561
2023,4,Petrol,5148
2023,5,BEV,11696
2023,5,Diesel,2641
2023,5,Hybrid,2176
2023,5,Other,556
2023,5,PHEV,5991
2023,5,Petrol,6324
2023,6,BEV,11005
2023,6,Diesel,2524
2023,6,Hybrid,2337
2023,6,Other,565
2023,6,PHEV,5806
2023,6,Petrol,6895
2023,7,BEV,6528
2023,7,Diesel,1684
2023,7,Hybrid,1329
2023,7,Other,390
2023,7,PHEV,3896
2023,7,Petrol,4246
2023,8,BEV,9832
2023,8,Diesel,2024
2023,8,Hybrid,2193
2023,8,Other,474
2023,8,PHEV,4575
2023,8,Petrol,5480
2023,9,BEV,12552
2023,9,Diesel,2393
2023,9,Hybrid,2251
2023,9,Other,526
2023,9,PHEV,5351
2023,9,Petrol,5820
2023,10,BEV,9454
2023,10,Diesel,2094
2023,10,Hybrid,2328
2023,10,Other,604
2023,10,PHEV,5762
2023,10,Petrol,5488
2023,11,BEV,10128
2023,11,Diesel,1960
2023,11,Hybrid,2803
2023,11,Other,692
2023,11,PHEV,5321
2023,11,Petrol,5024
2023,12,BEV,11408
2023,12,Diesel,2202
2023,12,Hybrid,2505
2023,12,Other,436
2023,12,PHEV,7101
2023,12,Petrol,6042
2024,1,BEV,5068
2024,1,Diesel,1890
2024,1,Hybrid,2059
2024,1,Other,619
2024,1,PHEV,4095
2024,1,Petrol,4078
2024,2,BEV,5244
2024,2,Diesel,1761
2024,2,Hybrid,2158
2024,2,Other,719
2024,2,PHEV,4500
2024,2,Petrol,4868
2024,3,BEV,8381
2024,3,Diesel,1902
2024,3,Hybrid,2073
2024,3,Other,707
2024,3,PHEV,5556
2024,3,Petrol,5862
2024,4,BEV,6845
2024,4,Diesel,1819
2024,4,Hybrid,2254
2024,4,Other,581
2024,4,PHEV,5744
2024,4,Petrol,5483
2024,5,BEV,7648
2024,5,Diesel,2252
2024,5,Hybrid,2714
2024,5,Other,507
2024,5,PHEV,5842
2024,5,Petrol,6984
2024,6,BEV,9135
2024,6,Diesel,2141
2024,6,Hybrid,2241
2024,6,Other,397
2024,6,PHEV,5252
2024,6,Petrol,6930
2024,7,BEV,5530
2024,7,Diesel,1690
2024,7,Hybrid,1375
2024,7,Other,147
2024,7,PHEV,4244
2024,7,Petrol,3970
2024,8,BEV,6819
2024,8,Diesel,1855
2024,8,Hybrid,2091
2024,8,Other,243
2024,8,PHEV,3881
2024,8,Petrol,4822
2024,9,BEV,11566
2024,9,Diesel,1521
2024,9,Hybrid,1966
2024,9,Other,317
2024,9,PHEV,5223
2024,9,Petrol,5825
2024,10,BEV,8819
2024,10,Diesel,1745
2024,10,Hybrid,2223
2024,10,Other,349
2024,10,PHEV,6811
2024,10,Petrol,5735
2024,11,BEV,9050
2024,11,Diesel,1677
2024,11,Hybrid,2170
2024,11,Other,322
2024,11,PHEV,6328
2024,11,Petrol,5896
2024,12,BEV,10734
2024,12,Diesel,1905
2024,12,Hybrid,2144
2024,12,Other,242
2024,12,PHEV,5798
2024,12,Petrol,5996
2025,1,BEV,5722
2025,1,Diesel,1378
2025,1,Hybrid,1824
2025,1,Other,1686
2025,1,PHEV,4513
