year,month,brand,model,count
2026,8,SEAT,SEAT LEON SP E-HYBRID150,41
2026,8,LYNK&CO,LYNK & CO 08,40
2026,8,AUDI,A5 AVANT 220KW TFSI E,40
2026,8,NISSAN,NISSAN JUKE,38
2026,8,OPEL,ASTRA,38
2026,8,BYD,DOLPHIN G,38
2026,8,AUDI,Q3 SB 200KW TFSI E,38
2026,8,SUZUKI,S-CROSS,38
2026,8,AUDI,Q5 270KW TFSI E,38
2026,8,AUDI,Q2,36
2026,8,OMODA,OMODA 9,36
2026,8,VOLVO,EC40,36
2026,8,NISSAN,NISSAN MICRA,36
2026,8,BYD,BYD ATTO 2,35
2026,8,MG,MG S9 PHEV,35
2026,8,BMW,IX2 EDRIVE20,35
2026,8,SMART,#3,35
2026,8,MINI,COOPER E,35
2026,8,FIAT,600,35
2026,8,JAECOO,JAECOO5 HYBRID,35
2026,8,MAZDA,MAZDA2 HYBRID,34
2026,8,RENAULT,ESPACE,34
2026,8,CUPRA,TERRAMAR E-HYBRID,34
2026,8,BMW,I4 EDRIVE40,34
2026,8,VOLVO,ES90,33
2026,8,OMODA,OMODA5,33
2026,8,VOLKSWAGEN,ID.4 PURE 140 KW,33
2026,8,LAND ROVER,DEFENDER,33
2026,8,AUDI,Q6 SUV E-TRON,33
2026,8,MERCEDES-BENZ,E 300 E,33
2026,8,CUPRA,TAVASCAN,33
2026,8,MINI,ACEMAN E,33
2026,8,VOLVO,EX30 CROSS COUNTRY,32
2026,8,MITSUBISHI,ASX,32
2026,8,AUDI,Q4 E-TRON PERFORMANCE,32
2026,8,FORD,CAPRI,31
2026,8,LYNK&CO,LYNK & CO 02,31
2026,8,MERCEDES-BENZ,ESPRINTER,31
2026,8,BMW,I4 EDRIVE35,31
2026,8,HONDA,JAZZ,31
2026,8,AUDI,A1 SPORTBACK,30
2026,8,VOLKSWAGEN,ID.7 TOURER PRO S,30
2026,8,MAZDA,MAZDA CX-30,30
2026,8,VOLKSWAGEN,CADDY,30
2026,8,LEXUS,LEXUS LBX,30
2026,8,PEUGEOT,408,29
2026,8,SUZUKI,E VITARA,29
2026,8,KIA,EV9,29
2026,8,HYUNDAI,SANTA FE,29
2026,8,MERCEDES-BENZ,EQA 250+,28
2026,8,LEAPMOTOR,B05,28
2026,8,VOLKSWAGEN,PASSAT,28
2026,8,ALFA ROMEO,ALFA ROMEO JUNIOR,27
2026,8,AUDI,Q5 220KW TFSI E,27
2026,8,DEEPAL,DEEPAL S05,27
2026,8,MG,MG ZS,27
2026,8,FORD,TRANSIT CUSTOM,27
2026,8,FIAT,500 HYBRID,26
2026,8,HYUNDAI,I20,25
2026,8,AUDI,A5 LIM 220KW TFSI E,25
2026,8,FORD,TOURNEO CONNECT,25
2026,8,HONDA,HR-V,25
2026,8,ALPINE,A290,24
2026,8,SKODA,ELROQ 50,24
2026,8,AUDI,A6 AV E-TRON,23
2026,8,VOLKSWAGEN,TAIGO,23
2026,8,DACIA,SPRING,23
2026,8,VOLKSWAGEN,ID.BUZZ PRO LR 210 KW,23
